,Number_PP,Name,Full_name,Code,Unit_of_reconciliation,Additional_characteristics,Owners_name,Kind,Article,Weight,Accounting_characteristics,Storage_unit,VAT_rate,Service,Nomenclature_group,Sharto,Main_supplier,Main_supplier_object,Comment,Predefined,Price,Qty_stock,Remaining_amount,Currency
233,352,Дверь ДП-02-(ЕI60) 2180х1600,Дверь ДП-02-(ЕI60) 2180х1600,2165,шт,Нет,Строительные товары двери,Товар,2165,Нет,Нет,шт,0.2,Нет,Товары,4142198712,,Нет,,Нет,84.83,335.28418,5,Руб
234,353,Дверь ДП-02(ЕI60) 2200х1800,Дверь ДП-02(ЕI60) 2200х1800,2206,шт,Нет,Строительные товары двери,Товар,2206,Нет,Нет,шт,0.2,Нет,Товары,321771547,,Нет,,Нет,59.69,203.12117,7,Руб
235,354,Дверь ДП-02-(ЕI60) 2220х1680,Дверь ДП-02-(ЕI60) 2220х1680,2226,шт,Нет,Строительные товары двери,Товар,2226,Нет,Нет,шт,0.2,Нет,Товары,321771547,,Нет,,Нет,9.28,135.1252,8,Руб
236,355,Дверь ДП-02-(ЕI60) 2280х1170,Дверь ДП-02-(ЕI60) 2280х1170,2186,шт,Нет,Строительные товары двери,Товар,2186,Нет,Нет,шт,0.2,Нет,Товары,321771547,,Нет,,Нет,83.22,216.17975,52,Руб
237,356,Дверь ДП-02-(ЕI60) 2280х1420,Дверь ДП-02-(ЕI60) 2280х1420,2187,шт,Нет,Строительные товары двери,Товар,2187,Нет,Нет,шт,0.2,Нет,Товары,3274417754,,Нет,,Нет,6.31,743.4688,33,Руб
238,357,Дверь ДП-02(ЕI60) 2400х1820,Дверь ДП-02(ЕI60) 2400х1820,2207,шт,Нет,Строительные товары двери,Товар,2207,Нет,Нет,шт,0.2,Нет,Товары,3274417754,,Нет,,Нет,25.6,19968.0,780,Руб
239,360,Дверь ДП-02-(ЕIS60) 2070х1280,Дверь ДП-02-(ЕIS60) 2070х1280,2359,шт,Нет,Строительные товары двери,Товар,2359,Нет,Нет,шт,0.2,Нет,Товары,3546289842,,Нет,,Нет,46.63,35.1632,5,Руб
240,361,Дверь ДПО-01(ЕI60),Дверь ДПО-01(ЕI60),2150,шт,Нет,Строительные товары двери,Товар,2150,Нет,Нет,шт,0.2,Нет,Товары,3546289842,,Нет,,Нет,26.29,370.9727,3,Руб
241,362,Дверь ДПО-01(ЕI60) 2060х1090,Дверь ДПО-01(ЕI60) 2060х1090,2162,шт,Нет,Строительные товары двери,Товар,2162,Нет,Нет,шт,0.2,Нет,Товары,3546289842,,Да,,Нет,98.92,204.20179,68,Руб
242,363,Дверь ДПО-01(ЕI60) 2060х1100,Дверь ДПО-01(ЕI60) 2060х1100,2163,шт,Нет,Строительные товары двери,Товар,2163,Нет,Нет,шт,0.2,Нет,Товары,1787935012,,Нет,,Нет,46.79,545.255,55,Руб
243,364,Дверь ДПО-02(ЕI60),Дверь ДПО-02(ЕI60),2148,шт,Нет,Строительные товары двери,Товар,2148,Нет,Нет,шт,0.2,Нет,Товары,1787935012,,Нет,,Нет,10.25,517.5299,25,Руб
244,365,Детские коврики,,1488,,Нет,Ковролин,Товар,1488,Нет,Нет,,,Нет,,2811636314,,Нет,,Нет,1.48,435.643,8,Руб
245,366,Детские коврики LUCKY,Детские коврики LUCKY,2383,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2383,Нет,Да,м2,0.2,Нет,Товары,2811636314,Монарх МБК-М ООО,Нет,,Нет,41.77,821.34293,17,Руб
246,367,Детские коврики Велюр,Детские коврики Велюр,1510,м2,Нет,Детские коврики,Товар,1510,Нет,Да,м2,0.2,Нет,Товары,2811636314,НЕВА ТАФТ ООО,Нет,,Нет,21.42,792.16964,64,Руб
247,370,Детские коврики Киндер,Детские коврики Киндер,2384,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2384,Нет,Да,м2,0.2,Нет,Товары,3538946143,Монарх МБК-М ООО,Нет,,Нет,48.2,896.43187,2,Руб
248,371,Детские коврики Киндер микс,Детские коврики Киндер микс,2385,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2385,Нет,Да,м2,0.2,Нет,Товары,3538946143,Монарх МБК-М ООО,Нет,,Нет,79.23,116.919,68,Руб
249,372,Детские коврики Медведи 500 0.7*1.0 2Y (0.7),Детские коврики Медведи 500 0.7*1.0 2Y (0.7),1719,м2,Нет,Детские коврики,Товар,1719,Нет,Нет,м2,0.2,Нет,Товары,2860983853,,Нет,,Нет,21.59,705.1522,95,Руб
250,373,Детские коврики Принт,Детские коврики Принт,2137,м2,Нет,Детские коврики,Товар,2137,Нет,Да,м2,0.2,Нет,Товары,2860983853,НЕВА ТАФТ ООО,Нет,,Нет,94.89,982.93181,98,Руб
251,374,Дизайн-макет визитки,Дизайн-макет визитки,1275,шт,Нет,Услуги,Услуга,1275,Нет,Нет,шт,0.2,Да,Товары,1625824855,,Нет,,Нет,22.2,396.8719,92,Руб
252,375,Диск CD-R,Диск CD-R,2591,уп,Нет,Материалы,Материал,2591,Нет,Нет,уп,Без НДС,Нет,Товары,1625824855,,Нет,,Нет,46.26,210.9714,6,Руб
253,376,Доводчик,Доводчик,2152,шт,Нет,Строительные товары двери,Товар,2152,Нет,Нет,шт,0.2,Нет,Товары,1625824855,,Нет,,Нет,51.44,352.18106,88,Руб
254,377,Дозатор,Дозатор,2456,шт,Нет,Строительные товары двери,Товар,2456,Нет,Нет,шт,0.2,Нет,Товары,2104527721,,Нет,,Нет,91.53,286.26177,58,Руб
255,400,Дорожка MEDIO,Дорожка MEDIO,2616,м2,Нет,Ковролин Украина,Товар,2616,Нет,Да,м2,0.2,Нет,Товары,2104527721,,Нет,,Нет,61.7,137.8452,9,Руб
256,401,Дорожка без дизайна,,1896,,Нет,Ковролин,Товар,1896,Нет,Нет,,,Нет,,1273289074,,Нет,,Нет,47.82,358.17119,56,Руб
257,402,Дорожка без дизайна,Дорожка без дизайна,1897,м2,Нет,Дорожка без дизайна,Товар,1897,Нет,Да,м2,0.2,Нет,Товары,1273289074,НЕВА ТАФТ ООО,Нет,,Нет,80.3,271.21688,13,Руб
258,403,Дорожка Ирбис,Дорожка Ирбис,2421,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2421,Нет,Да,м2,0.2,Нет,Товары,1273289074,Монарх МБК-М ООО,Нет,,Нет,85.94,669.57493,86,Руб
259,404,Дорожка обработанная,,1494,,Нет,Ковролин,Товар,1494,Нет,Нет,,,Нет,,3964924816,,Нет,,Нет,33.21,730.24243,3,Руб
260,405,Дорожка обработанная,Дорожка обработанная,1511,м2,Нет,Дорожка обработанная,Товар,1511,Нет,Да,м2,0.2,Нет,Товары,3964924816,НЕВА ТАФТ ООО,Нет,,Нет,85.88,891.76519,8,Руб
261,406,Дорожка обработанная Азалия 170 1.8м 1Y (63),Дорожка обработанная Азалия 170 1.8м 1Y (63),1557,м2,Нет,Дорожка обработанная,Товар,1557,Нет,Нет,м2,0.2,Нет,Товары,3964924816,,Нет,,Нет,57.11,695.39691,45,Руб
262,407,Дорожка обработанная Азалия 170 1.8м 1Y (64.8),Дорожка обработанная Азалия 170 1.8м 1Y (64.8),1618,м2,Нет,Дорожка обработанная,Товар,1618,Нет,Нет,м2,0.2,Нет,Товары,970107612,,Нет,,Нет,94.31,998.94121,38,Руб
263,410,Дорожка обработанная Анжела 500 1.3м 1Y (45.5),Дорожка обработанная Анжела 500 1.3м 1Y (45.5),1615,м2,Нет,Дорожка обработанная,Товар,1615,Нет,Нет,м2,0.2,Нет,Товары,970107612,,Нет,,Нет,55.13,320.17641,6,Руб
264,411,Дорожка обработанная Анис 140 1.8м 1Y (63),Дорожка обработанная Анис 140 1.8м 1Y (63),1619,м2,Нет,Дорожка обработанная,Товар,1619,Нет,Нет,м2,0.2,Нет,Товары,3752092055,,Нет,,Нет,40.48,585.2368,8,Руб
265,412,Дорожка обработанная Анис 900 1.8м 1Y (63),Дорожка обработанная Анис 900 1.8м 1Y (63),1620,м2,Нет,Дорожка обработанная,Товар,1620,Нет,Нет,м2,0.2,Нет,Товары,3752092055,,Нет,,Нет,89.11,549.48921,39,Руб
266,413,Дорожка обработанная Апрель 170 1.2м 1Y (42),Дорожка обработанная Апрель 170 1.2м 1Y (42),1667,м2,Нет,Дорожка обработанная,Товар,1667,Нет,Нет,м2,0.2,Нет,Товары,3752092055,,Нет,,Нет,23.2,388.9001,6,Руб
267,414,Дорожка обработанная Ваниль 140 1.5м 1Y (52.5),Дорожка обработанная Ваниль 140 1.5м 1Y (52.5),1670,м2,Нет,Дорожка обработанная,Товар,1670,Нет,Нет,м2,0.2,Нет,Товары,3764114232,,Нет,,Нет,18.92,92.0,51,Руб
268,415,Дорожка обработанная Вектор 500 1.4м 1Y (53.2),Дорожка обработанная Вектор 500 1.4м 1Y (53.2),1553,м2,Нет,Дорожка обработанная,Товар,1553,Нет,Нет,м2,0.2,Нет,Товары,3764114232,,Нет,,Нет,18.65,709.13222,85,Руб
269,416,Дорожка обработанная Грация 170 1.1м 1Y (36.3),Дорожка обработанная Грация 170 1.1м 1Y (36.3),1550,м2,Нет,Дорожка обработанная,Товар,1550,Нет,Нет,м2,0.2,Нет,Товары,3764114232,,Нет,,Нет,42.87,258.1106,46,Руб
270,417,Дорожка обработанная Грация 170 1.1м 1Y (38.5),Дорожка обработанная Грация 170 1.1м 1Y (38.5),1612,м2,Нет,Дорожка обработанная,Товар,1612,Нет,Нет,м2,0.2,Нет,Товары,290539323,,Нет,,Нет,62.11,126.7825,86,Руб
271,420,Дорожка обработанная Имбирь 140 1.3м 1Y (45.5),Дорожка обработанная Имбирь 140 1.3м 1Y (45.5),1668,м2,Нет,Дорожка обработанная,Товар,1668,Нет,Нет,м2,0.2,Нет,Товары,290539323,,Нет,,Нет,52.93,547.28952,71,Руб
272,421,Дорожка обработанная Импульс 500 1.0м 1Y (37),Дорожка обработанная Импульс 500 1.0м 1Y (37),1664,м2,Нет,Дорожка обработанная,Товар,1664,Нет,Нет,м2,0.2,Нет,Товары,290539323,,Нет,,Нет,87.31,702.61291,62,Руб
273,422,Дорожка обработанная Импульс 500 1.1м 1Y (38.5),Дорожка обработанная Импульс 500 1.1м 1Y (38.5),1666,м2,Нет,Дорожка обработанная,Товар,1666,Нет,Нет,м2,0.2,Нет,Товары,59419789,,Нет,,Нет,52.74,654.34491,96,Руб
274,423,Дорожка обработанная Искра 315 1.4м 1Y (39.2),Дорожка обработанная Искра 315 1.4м 1Y (39.2),1669,м2,Нет,Дорожка обработанная,Товар,1669,Нет,Нет,м2,0.2,Нет,Товары,59419789,,Нет,,Нет,55.1,3306.0,60,Руб
275,424,Дорожка обработанная Искра 315 1.8м 1Y (73.8),Дорожка обработанная Искра 315 1.8м 1Y (73.8),1558,м2,Нет,Дорожка обработанная,Товар,1558,Нет,Нет,м2,0.2,Нет,Товары,3131518980,,Нет,,Нет,18.69,223.4167,87,Руб
276,425,Дорожка обработанная Калейдоскоп 170 1.0м 1Y (35),Дорожка обработанная Калейдоскоп 170 1.0м 1Y (35),1611,м2,Нет,Дорожка обработанная,Товар,1611,Нет,Нет,м2,0.2,Нет,Товары,3131518980,,Нет,,Нет,58.17,576.33505,92,Руб
277,426,Дорожка обработанная Калейдоскоп 170 1.1м 1Y (38.5),Дорожка обработанная Калейдоскоп 170 1.1м 1Y (38.5),1613,м2,Нет,Дорожка обработанная,Товар,1613,Нет,Нет,м2,0.2,Нет,Товары,3131518980,,Нет,,Нет,41.52,701.29105,52,Руб
278,427,Дорожка обработанная Камелия 315 1.5м 1Y (52.5),Дорожка обработанная Камелия 315 1.5м 1Y (52.5),1617,м2,Нет,Дорожка обработанная,Товар,1617,Нет,Нет,м2,0.2,Нет,Товары,4137321152,,Нет,,Нет,8.24,134.1104,16,Руб
279,430,Дорожка обработанная Камелия 500 0.8м 1Y (28),Дорожка обработанная Камелия 500 0.8м 1Y (28),1546,м2,Нет,Дорожка обработанная,Товар,1546,Нет,Нет,м2,0.2,Нет,Товары,4137321152,,Нет,,Нет,43.68,490.21403,2,Руб
280,431,Дорожка обработанная Камелия 500 1.3м 1Y (45.5),Дорожка обработанная Камелия 500 1.3м 1Y (45.5),1616,м2,Нет,Дорожка обработанная,Товар,1616,Нет,Нет,м2,0.2,Нет,Товары,1565200,,Нет,,Нет,7.36,4048.0,550,Руб
281,432,Дорожка обработанная Камелия 500 1.5м 1Y (52.5),Дорожка обработанная Камелия 500 1.5м 1Y (52.5),1554,м2,Нет,Дорожка обработанная,Товар,1554,Нет,Нет,м2,0.2,Нет,Товары,1565200,,Нет,,Нет,9.8,486.4762,8,Руб
282,433,Дорожка обработанная Камелия 600 1.2м 1Y (42),Дорожка обработанная Камелия 600 1.2м 1Y (42),1614,м2,Нет,Дорожка обработанная,Товар,1614,Нет,Нет,м2,0.2,Нет,Товары,1565200,,Нет,,Нет,4.63,320.1481,6,Руб
283,434,Дорожка обработанная Камелия 600 1.8м 1Y (63),Дорожка обработанная Камелия 600 1.8м 1Y (63),1559,м2,Нет,Дорожка обработанная,Товар,1559,Нет,Нет,м2,0.2,Нет,Товары,3527320996,,Нет,,Нет,24.45,563.13765,35,Руб
284,435,Дорожка обработанная Квазар 600 1.3м 1Y (45.5),Дорожка обработанная Квазар 600 1.3м 1Y (45.5),1552,м2,Нет,Дорожка обработанная,Товар,1552,Нет,Нет,м2,0.2,Нет,Товары,3527320996,,Нет,,Нет,24.97,584.14582,48,Руб
285,436,Дорожка обработанная Квазар 600 1.5м 1Y (52.5),Дорожка обработанная Квазар 600 1.5м 1Y (52.5),1555,м2,Нет,Дорожка обработанная,Товар,1555,Нет,Нет,м2,0.2,Нет,Товары,3929964217,,Нет,,Нет,32.41,734.23788,94,Руб
286,437,Дорожка обработанная Комета 600 1.0м 1Y (35),Дорожка обработанная Комета 600 1.0м 1Y (35),1548,м2,Нет,Дорожка обработанная,Товар,1548,Нет,Нет,м2,0.2,Нет,Товары,3929964217,,Нет,,Нет,16.88,665.11225,2,Руб
287,440,Дорожка обработанная Лада 170 1.8м 1Y (63),Дорожка обработанная Лада 170 1.8м 1Y (63),1560,м2,Нет,Дорожка обработанная,Товар,1560,Нет,Нет,м2,0.2,Нет,Товары,1759654767,,Нет,,Нет,8.14,96.0,14,Руб
288,441,Дорожка обработанная Лилия 315 1.5м 1Y (52.5),Дорожка обработанная Лилия 315 1.5м 1Y (52.5),1556,м2,Нет,Дорожка обработанная,Товар,1556,Нет,Нет,м2,0.2,Нет,Товары,2797053409,,Нет,,Нет,43.75,635.27781,25,Руб
289,442,Дорожка обработанная Олимп 170 1.0м 1Y (35),Дорожка обработанная Олимп 170 1.0м 1Y (35),1665,м2,Нет,Дорожка обработанная,Товар,1665,Нет,Нет,м2,0.2,Нет,Товары,2797053409,,Нет,,Нет,74.21,749.55583,29,Руб
290,443,Дорожка обработанная Олимп 600 0.8м 1Y (40),Дорожка обработанная Олимп 600 0.8м 1Y (40),1576,м2,Нет,Дорожка обработанная,Товар,1576,Нет,Нет,м2,0.2,Нет,Товары,525863433,,Нет,,Нет,43.67,863.37687,21,Руб
291,444,Дорожка обработанная Паркет 170 0.9м 1Y (31.5),Дорожка обработанная Паркет 170 0.9м 1Y (31.5),1663,м2,Нет,Дорожка обработанная,Товар,1663,Нет,Нет,м2,0.2,Нет,Товары,525863433,,Нет,,Нет,12.38,776.9606,88,Руб
292,445,Дорожка обработанная Паркет 500 0.8м 1Y (28),Дорожка обработанная Паркет 500 0.8м 1Y (28),1662,м2,Нет,Дорожка обработанная,Товар,1662,Нет,Нет,м2,0.2,Нет,Товары,525863433,,Нет,,Нет,96.69,934.90308,46,Руб
293,446,Дорожка обработанная Рамонда 315 0.9м 1Y (27),Дорожка обработанная Рамонда 315 0.9м 1Y (27),1610,м2,Нет,Дорожка обработанная,Товар,1610,Нет,Нет,м2,0.2,Нет,Товары,3928058241,,Нет,,Нет,92.87,488.4532,56,Руб
294,447,Дорожка обработанная Рамонда 315 1.1м 1Y (27.5),Дорожка обработанная Рамонда 315 1.1м 1Y (27.5),1551,м2,Нет,Дорожка обработанная,Товар,1551,Нет,Нет,м2,0.2,Нет,Товары,3928058241,,Нет,,Нет,96.94,286.27724,84,Руб
295,450,Дорожка обработанная Рамонда 600 0.8м 1Y (28),Дорожка обработанная Рамонда 600 0.8м 1Y (28),1547,м2,Нет,Дорожка обработанная,Товар,1547,Нет,Нет,м2,0.2,Нет,Товары,3928058241,,Нет,,Нет,51.59,978.50455,2,Руб
296,451,Дорожка обработанная Сандра 170 1.0м 1Y (35),Дорожка обработанная Сандра 170 1.0м 1Y (35),1549,м2,Нет,Дорожка обработанная,Товар,1549,Нет,Нет,м2,0.2,Нет,Товары,368650119,,Нет,,Нет,81.1,148.11989,48,Руб
297,452,Дорожка обработанная Сигма 105 0.9м 1Y (31.5),Дорожка обработанная Сигма 105 0.9м 1Y (31.5),1720,м2,Нет,Дорожка обработанная,Товар,1720,Нет,Нет,м2,0.2,Нет,Товары,368650119,,Нет,,Нет,35.73,599.21402,27,Руб
298,453,Дорожка обработанная Фортуна 315 2.0м 1Y (70),Дорожка обработанная Фортуна 315 2.0м 1Y (70),1621,м2,Нет,Дорожка обработанная,Товар,1621,Нет,Нет,м2,0.2,Нет,Товары,368650119,,Нет,,Нет,88.74,636.56438,64,Руб
299,454,Дорожка обработанная Шафран 170 0.8м 1Y (28),Дорожка обработанная Шафран 170 0.8м 1Y (28),1599,м2,Нет,Дорожка обработанная,Товар,1599,Нет,Нет,м2,0.2,Нет,Товары,3055396909,,Нет,,Нет,55.15,722.39818,3,Руб
300,455,Дорожка Сити,Дорожка Сити,2423,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2423,Нет,Да,м2,0.2,Нет,Товары,3055396909,Монарх МБК-М ООО,Нет,,Нет,69.81,336.23456,16,Руб
301,456,Дорожка Сфинкс,Дорожка Сфинкс,2422,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2422,Нет,Да,м2,0.2,Нет,Товары,1528235733,Монарх МБК-М ООО,Нет,,Нет,77.76,380.29548,8,Руб
302,457,Дорожки Ideal,Дорожки Ideal,1990,м2,Нет,Ковролин Ideal,Товар,1990,Нет,Да,м2,0.2,Нет,Товары,1528235733,ОПУС ТД ООО,Нет,,Нет,72.59,370.26858,3,Руб
303,460,Дорожки влаговпитывающие ,Дорожки влаговпитывающие ,2479,пог. м,Нет,Коврики влаговпитывающие,Товар,2479,Нет,Да,пог. м,0.2,Нет,Товары,1528235733,Монарх МБК-М ООО,Нет,,Нет,58.67,952.55853,84,Руб
304,461,Дорожки Стандарт ,Дорожки Стандарт ,2131,пог. м,Нет,Альфа,Товар,2131,Нет,Да,пог. м,0.2,Нет,Товары,329519416,АЛЬФА-СТИЛЬ ООО,Нет,,Нет,53.51,93.4976,43,Руб
305,462,Доска обрезная,Доска обрезная,2110,шт,Нет,Строительные товары двери,Товар,2110,Нет,Нет,шт,0.2,Нет,Товары,329519416,,Нет,,Нет,15.62,649.10137,38,Руб
306,463,Доставка,Доставка,499,шт,Нет,Услуги,Услуга,499,Нет,Нет,шт,0.2,Да,Товары,802664633,,Нет,,Нет,64.64,88.0,17,Руб
307,464,Доступ к порталу Закупай,Доступ к порталу Закупай,2321,шт,Нет,Услуги,Услуга,2321,Нет,Нет,шт,0.2,Да,Товары,802664633,,Нет,,Нет,36.45,934.34044,3,Руб
308,465,Дрезден (снят),,829,,Нет,Паркетная доска,Товар,829,Нет,Нет,,,Нет,,4286037090,,Нет,,Нет,58.7,512.29731,84,Руб
309,466,Духовой шкаф NEFF,Духовой шкаф NEFF,2431,шт,Нет,Строительные товары двери,Товар,2431,Нет,Нет,шт,0.2,Нет,Товары,4286037090,,Нет,,Нет,83.88,813.68194,44,Руб
310,467,дырокол 6760 до 60л,дырокол 6760 до 60л,2012,шт,Нет,Материалы,Материал,2012,Нет,Нет,шт,0.2,Нет,Товары,4286037090,,Нет,,Нет,74.67,772.57645,24,Руб
311,470,Жалюзи,Жалюзи,2279,м2,Нет,Материалы,Материал,2279,Нет,Нет,м2,0.2,Нет,Товары,192321755,,Нет,,Нет,95.32,778.74158,96,Руб
312,471,Желоб,Желоб,2290,шт,Нет,Строительные товары двери,Товар,2290,Нет,Нет,шт,0.2,Нет,Товары,192321755,,Нет,,Нет,69.56,804.55926,24,Руб
313,472,Жесткие диски ,Жесткие диски ,2121,шт,Нет,Материалы,Материал,2121,Нет,Нет,шт,0.2,Нет,Товары,192321755,,Нет,,Нет,25.89,971.25139,19,Руб
314,473,Жесткие диски SATA для десктопов,Жесткие диски SATA для десктопов,1902,шт,Нет,Материалы,Материал,1902,Нет,Нет,шт,0.2,Нет,Товары,2912681276,,Нет,,Нет,70.57,265.18701,5,Руб
315,474,Жесткие диски SSD SATA 2.5,Жесткие диски SSD SATA 2.5,1910,шт,Нет,Материалы,Материал,1910,Нет,Нет,шт,0.2,Нет,Товары,2912681276,,Нет,,Нет,11.5,863.9536,15,Руб
316,475,Журнал по ПБ,Журнал по ПБ,1997,шт,Нет,Материалы,Материал,1997,Нет,Нет,шт,0.2,Нет,Товары,2912681276,,Нет,,Нет,90.22,501.452,22,Руб
317,476,Зажим для бумаги,Зажим для бумаги,1986,шт,Нет,Материалы,Материал,1986,Нет,Нет,шт,0.2,Нет,Товары,3027634501,,Нет,,Нет,12.84,779.10002,36,Руб
318,477,Замок видеодомофона,Замок видеодомофона,1519,шт,Нет,Материалы,Материал,1519,Нет,Нет,шт,0.2,Нет,Товары,3027634501,,Нет,,Нет,9.37,669.6268,53,Руб
319,500,Замок дверной,Замок дверной,2322,шт,Нет,Материалы,Материал,2322,Нет,Нет,шт,0.2,Нет,Товары,2424360169,,Нет,,Нет,30.6,911.27876,6,Руб
320,501,запасные салфетки для губок и досок 100шт,запасные салфетки для губок и досок 100шт,2022,уп,Нет,Материалы,Материал,2022,Нет,Нет,уп,0.2,Нет,Товары,2424360169,,Нет,,Нет,8.89,391.3475,99,Руб
321,502,Звукоизоляционный матТЗИ 10х1.5м,Звукоизоляционный матТЗИ 10х1.5м,2427,шт,Нет,Строительные товары двери,Товар,2427,Нет,Нет,шт,0.2,Нет,Товары,2424360169,,Нет,,Нет,22.99,668.15357,32,Руб
322,503,Звукоизоляция ROCKWOOL 1000х600х27 (7.2 кв. м) ,Звукоизоляция ROCKWOOL 1000х600х27 (7.2 кв. м) ,2430,уп,Нет,Строительные товары двери,Товар,2430,Нет,Нет,уп,0.2,Нет,Товары,595144406,,Нет,,Нет,79.1,45087.0,570,Руб
323,504,Звукоизоляция Техноэласт 1х10м (рулон),Звукоизоляция Техноэласт 1х10м (рулон),2428,шт,Нет,Строительные товары двери,Товар,2428,Нет,Нет,шт,0.2,Нет,Товары,595144406,,Нет,,Нет,27.27,786.21434,22,Руб
324,505,Знак по ПБ 100*250мм,Знак по ПБ 100*250мм,1998,шт,Нет,Материалы,Материал,1998,Нет,Нет,шт,0.2,Нет,Товары,595144406,,Нет,,Нет,35.22,794.27964,68,Руб
325,506,Изготовление визитных карточек,Изготовление визитных карточек,2028,шт,Нет,Услуги,Услуга,2028,Нет,Нет,шт,0.2,Да,Товары,3368236096,,Нет,,Нет,17.68,40.707,2,Руб
326,507,Интернет,Интернет,1895,шт,Нет,Услуги,Услуга,1895,Нет,Нет,шт,0.2,Да,Товары,3368236096,,Нет,,Нет,70.72,808.57141,76,Руб
327,510,Информационно-консультационные услуги,Информационно-консультационные услуги,1259,шт,Нет,Услуги,Услуга,1259,Нет,Нет,шт,0.2,Да,Товары,477354110,,Нет,,Нет,77.1,444.34192,44,Руб
328,511,Информационно-справочное обслуживание,Информационно-справочное обслуживание,2047,шт,Нет,Услуги,Услуга,2047,Нет,Нет,шт,0.2,Да,Товары,477354110,,Нет,,Нет,90.33,345.31163,85,Руб
329,512,Искусственная трава,,2075,,Нет,Ковролин,Товар,2075,Нет,Нет,,,Нет,,1841761709,,Нет,,Нет,22.58,643.14518,94,Руб
330,513,Искусственная трава,Искусственная трава,2076,м2,Нет,Искусственная трава,Товар,2076,Нет,Да,м2,0.2,Нет,Товары,1841761709,ОПУС ТД ООО,Нет,,Нет,42.81,644.27569,64,Руб
331,514,Искусственная трава 10мм,Искусственная трава 10мм,2570,м2,Нет,Искусственная трава,Товар,2570,Нет,Да,м2,0.2,Нет,Товары,1841761709,,Нет,,Нет,13.58,645.8759,1,Руб
332,515,Искусственная трава Гринлэнд,Искусственная трава Гринлэнд,2380,м2,Нет,Искусственная трава,Товар,2380,Нет,Да,м2,0.2,Нет,Товары,2574209398,Монарх МБК-М ООО,Нет,,Нет,93.44,747.69799,68,Руб
333,516,Искусственная трава коврики ,Искусственная трава коврики ,2381,шт,Нет,Искусственная трава,Товар,2381,Нет,Да,шт,0.2,Нет,Товары,2574209398,Монарх МБК-М ООО,Нет,,Нет,11.69,859.10041,71,Руб
334,517,Источник бесперебойного питания,Источник бесперебойного питания,2270,шт,Нет,Строительные товары двери,Товар,2270,Нет,Нет,шт,0.2,Нет,Товары,2574209398,,Нет,,Нет,80.7,549.44304,3,Руб
335,520,Источники бесперебойного питания,Источники бесперебойного питания,1908,шт,Нет,Материалы,Материал,1908,Нет,Нет,шт,0.2,Нет,Товары,1355232044,,Нет,,Нет,73.46,481.35334,26,Руб
336,521,Кабель ,Кабель ,2594,шт,Нет,Материалы,Материал,2594,Нет,Нет,шт,0.2,Нет,Товары,1355232044,,Нет,,Нет,94.23,395.3722,85,Руб
337,522,Кабель ВВГнг  3х10,Кабель ВВГнг  3х10,1860,км.,Нет,Строительные товары двери,Товар,1860,Нет,Нет,км.,0.2,Нет,Товары,1355232044,,Нет,,Нет,24.87,456.1134,72,Руб
338,523,Кабель ВВГнг  3х2.5,Кабель ВВГнг  3х2,1857,км.,Нет,Строительные товары двери,Товар,1857,Нет,Нет,км.,0.2,Нет,Товары,412085477,,Нет,,Нет,40.22,315.12669,3,Руб
339,524,Кабель ВВГнг-П  3х4,Кабель ВВГнг-П  3х4,1858,км.,Нет,Строительные товары двери,Товар,1858,Нет,Нет,км.,0.2,Нет,Товары,412085477,,Нет,,Нет,65.15,898.58504,7,Руб
340,525,Кабель ВВГнг-П  3х6,Кабель ВВГнг-П  3х6,1859,км.,Нет,Строительные товары двери,Товар,1859,Нет,Нет,км.,0.2,Нет,Товары,511087601,,Нет,,Нет,20.55,990.20344,5,Руб
341,526,"Кабель ППГнг (А)-HF 3х2,5ок-0,66","Кабель ППГнг (А)-HF 3х2,5ок-0,66",1856,км.,Нет,Строительные товары двери,Товар,1856,Нет,Нет,км.,0.2,Нет,Товары,511087601,,Нет,,Нет,50.2,187.9353,74,Руб
342,527,"Кабель ТПП эп 10х2х0,5-200",Кабель ТПП эп 10х2х0,1861,км.,Нет,Строительные товары двери,Товар,1861,Нет,Нет,км.,0.2,Нет,Товары,511087601,,Нет,,Нет,6.5,78.471,9,Руб
343,530,Калькулятор ,Калькулятор ,1527,шт,Нет,Материалы,Материал,1527,Нет,Нет,шт,0.2,Нет,Товары,2180496657,,Нет,,Нет,87.45,924.80803,8,Руб
344,531,Камень ,Камень ,2204,шт,Нет,Строительные товары двери,Товар,2204,Нет,Нет,шт,0.2,Нет,Товары,2180496657,,Нет,,Нет,50.2,678.33913,56,Руб
345,532,Камера (охрана),Камера (охрана),2117,шт,Нет,Материалы,Материал,2117,Нет,Нет,шт,0.2,Нет,Товары,2180496657,,Нет,,Нет,85.56,963.82394,28,Руб
346,533,Кант пристенный,Кант пристенный,2246,шт,Нет,Материалы,Материал,2246,Нет,Нет,шт,0.2,Нет,Товары,3059684163,,Нет,,Нет,98.51,870.85703,7,Руб
